channel_type,country,date,e_m_earnings,e_y_earnings,grade,sub_change,sub_last30,subs,uploads,video_view,view_change,view_last30,youtuber
Comedy,IN,"Sep 16th, 2015",$3.9K - $61.6K,$46.2K - $739.7K,B+,477,52399,269647,19,18237407,-114,15409830,Indian Crime Show
Comedy,US,"Jan 15th, 2016",$4.3K - $68.3K,$51.2K - $819.6K,B+,-8,104141,1396180,602,630412483,-51,17075280,Phim Hài Hay - Phim Hài Việt
Comedy,US,"Nov 2nd, 2008",$4.2K - $68K,$51K - $815.5K,B+,-145,-5925,1697902,632,231597046,688,16990380,Nextraker
Comedy,RU,"Aug 28th, 2016",$7.3K - $116.6K,$87.5K - $1.4M,B+,73,126855,1658138,289,411112560,77,29150130,GAN_13_
Comedy,MX,"Nov 21st, 2015",$10.2K - $162.9K,$122.2K - $2M,B+,21,384181,2357799,97,298160299,15,40729800,Daniel Saavedra
Comedy,AE,"Apr 24th, 2014",$10.2K - $163.6K,$122.7K - $2M,B+,31,374297,10038974,398,1138416072,49,40898400,Noor Stars
Comedy,US,"Dec 27th, 2014",$9.4K - $149.9K,$112.4K - $1.8M,B+,7,109534,6397895,727,1252704819,-3,37462800,CJ SO COOL
Comedy,CA,"Oct 29th, 2010",$8.2K - $130.9K,$98.2K - $1.6M,B+,288,25573,14486573,769,2950986776,-13,32720400,IISuperwomanII
Comedy,IN,"Jul 6th, 2009",$15.9K - $254.7K,$191K - $3.1M,B+,86,924787,10114280,122,858276809,71,63673200,ashish chanchlani vines
Comedy,IQ,"Feb 23rd, 2013",$8.2K - $130.8K,$98.1K - $1.6M,B+,-23,302075,2270258,414,218266433,3,32694600,Ali Athab
Comedy,AL,"Jun 23rd, 2011",$10.4K - $167.1K,$125.3K - $2M,B+,23,24145,644873,78139,889639479,117,41773500,Top Channel Albania
Comedy,IN,"Dec 25th, 2016",$3.9K - $61.7K,$46.2K - $739.9K,B+,-5,139526,1277570,825,340066904,-61,15414180,Comedy No.1
Comedy,BR,"Apr 22nd, 2010",$10.4K - $166.2K,$124.7K - $2M,B+,18,111339,1193026,2389,463192711,32,41562000,FUCHTube
Comedy,IN,"Oct 20th, 2016",$11.4K - $183K,$137.2K - $2.2M,B+,-11,534628,5602551,50,421379669,9,45742800,Round2hell
Comedy,US,"Sep 25th, 2012",$9.5K - $152.8K,$114.6K - $1.8M,B+,1,-9965,10794265,305,1945667005,57,38197800,RiceGum
Comedy,US,"May 10th, 2013",$7.8K - $124.4K,$93.3K - $1.5M,B+,22,76301,2642417,2466,1067243417,109,31105200,Late Night with Seth Meyers
Comedy,AL,"Jan 24th, 2015",$7.9K - $126.6K,$95K - $1.5M,A-,-25,41777,1296765,256,373604017,-81,31653600,All Of Vines
Comedy,IN,"Apr 14th, 2012",$11.4K - $181.7K,$136.3K - $2.2M,A-,5,151034,1425078,11193,482398477,-3,45435600,SEPL VIDEO
Comedy,CA,"Mar 8th, 2014",$9.4K - $150K,$112.5K - $1.8M,A-,83,112700,840594,330,262886641,87,37502400,Dan and Riya
Comedy,US,"Jul 5th, 2011",$12.6K - $202K,$151.5K - $2.4M,A-,22,73883,14439396,718,5114058770,12,50502300,FailArmy
Comedy,JP,"Jun 23rd, 2014",$10K - $159.6K,$119.7K - $1.9M,A-,27,66296,2000502,1099,990750686,7,39893400,東海オンエアの控え室
Comedy,IN,"Aug 5th, 2016",$8.7K - $138.8K,$104.1K - $1.7M,A-,19,211952,2497505,395,545852466,-21,34710000,Comedy Wale
Comedy,BR,"Feb 20th, 2016",$10.2K - $163K,$122.2K - $2M,A-,23,822118,2166284,158,97347663,57,40746900,Rodrigo F Gamer Respeita
Comedy,VN,"Dec 25th, 2015",$13K - $208.4K,$156.3K - $2.5M,A-,267,172919,2129793,282,1135533830,111,52111200,Phim Hài - Bình Minh Film
Comedy,BR,"Aug 22nd, 2013",$12.3K - $197.5K,$148.1K - $2.4M,A-,25,240192,1948455,293,331412549,40,49365900,Dinah Moraes
Comedy,BR,"May 16th, 2016",$9.5K - $152.3K,$114.2K - $1.8M,A-,105,250991,1128448,176,190400637,124,38081100,Brenda Bauer
Comedy,BR,"Nov 4th, 2015",$11.9K - $190.3K,$142.8K - $2.3M,A-,-24,194700,2704810,1505,608971753,-29,47585100,Humor Multishow
Comedy,BR,"Feb 11th, 2014",$9.2K - $146.7K,$110.1K - $1.8M,A-,169,232606,7371245,452,965533896,107,36683700,Lucas Rangel
Comedy,US,"Sep 26th, 2013",$11.5K - $184K,$138K - $2.2M,A-,27,203979,5566487,91,958680080,13,45999300,Hannah Stocking
Comedy,US,"Dec 4th, 2012",$0 - $0,$0 - $0,A-,22,115032,2618190,1790,1352597481,-220,-47772600,Kyoot
Comedy,TR,"Jun 19th, 2015",$7.5K - $120.1K,$90.1K - $1.4M,A-,57,121012,1694158,130,495486023,46,30021000,Facia Üçlü
Comedy,BR,"Jan 21st, 2013",$14.8K - $236.7K,$177.5K - $2.8M,A-,110,1034779,34141942,358,2779130720,70,59180700,whinderssonnunes
Comedy,US,"May 10th, 2013",$11.3K - $181.1K,$135.8K - $2.2M,A-,51,108193,2829644,496,807754278,58,45268800,Funny Vines
